Codigo;Tipo de Activo;Vinculado o no;Tipo de Titulo;Emisor;NIT;Tipo Inversion;Tipo Registro;Sisitema TRansaccional;Tipo Moneda;Tipo Sector;Calificacion;Dias Vencimiento;Duracion;VPN;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;1;529;0;5142500000;
71717171;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;86;0,2207;77601158;
71717171;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;1253;2,8424;512315000;
71717171;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;1253;2,8424;512315000;
71717171;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;1253;2,8424;2305417500;
71717171;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;1253;2,8424;3330047500;
91919191;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;1253;2,8424;1536945000;
91919191;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;1253;2,8424;1280787500;
91919191;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;1253;2,8424;1024630000;
91919191;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;1253;2,8424;6147780000;
91919191;;;10;Ministerio De Hacienda Y Credito Publico;8999990902;;1;1;1;4;35;1253;2,8424;9990142500;
91919191;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;1;816;1,9265;955390000;
