COD;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;Emisor;NIT10;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;Duración;VPN
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;372;0;3571610000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;430;0;5072450000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;365;0;3995600000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;339;0;6952790000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;344;0;3204750000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;345;0;1601940000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;464;0;2141160000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;469;0;5345750000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;446;0;5056000000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;447;0;3032790000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;408;0;5107900000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;487;0;4228000000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;500;0;5263300000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;505;0;4207400000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;504;0;7158690000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;513;0;10489400000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;473;0;5071500000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;234;0;5052050000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;518;0;3024360000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;573;0;5044150000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;541;0;5033400000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;541;0;1993540000,00
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;761;0;3817100272,75
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;761;0;3817100272,75
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;536;0;10053100000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;728;0;10024300000,00
9011356;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;1629683933,35
9011356;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;128011269,81
